Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Australia,Daniel  Ricciardo  RIC,Red Bull Racing TAG Heuer,1:28.997,
,Bahrain,Nico  Rosberg  ROS,Mercedes,1:34.482,
,China,Nico  Hulkenberg  HUL,Force India Mercedes,1:39.824,
,Russia,Nico  Rosberg  ROS,Mercedes,1:39.094,
,Spain,Daniil  Kvyat  KVY,Toro Rosso Ferrari,1:26.948,
,Monaco,Lewis  Hamilton  HAM,Mercedes,1:17.939,
,Canada,Nico  Rosberg  ROS,Mercedes,1:15.599,
,Europe,Nico  Rosberg  ROS,Mercedes,1:46.485,
,Austria,Lewis  Hamilton  HAM,Mercedes,1:08.411,
,Great Britain,Nico  Rosberg  ROS,Mercedes,1:35.548,
,Hungary,Kimi  Räikkönen  RAI,Ferrari,1:23.086,
,Germany,Daniel  Ricciardo  RIC,Red Bull Racing TAG Heuer,1:18.442,
,Belgium,Lewis  Hamilton  HAM,Mercedes,1:51.583,
,Italy,Fernando  Alonso  ALO,McLaren Honda,1:25.340,
,Singapore,Daniel  Ricciardo  RIC,Red Bull Racing TAG Heuer,1:47.187,
,Malaysia,Nico  Rosberg  ROS,Mercedes,1:36.424,
,Japan,Sebastian  Vettel  VET,Ferrari,1:35.118,
,United States,Sebastian  Vettel  VET,Ferrari,1:39.877,
,Mexico,Daniel  Ricciardo  RIC,Red Bull Racing TAG Heuer,1:21.134,
,Brazil,Max  Verstappen  VER,Red Bull Racing TAG Heuer,1:25.305,
,Abu Dhabi,Sebastian  Vettel  VET,Ferrari,1:43.729,
