Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Australia,Daniel  Ricciardo  RIC,Red Bull Racing TAG Heuer,1:25.945,
,Bahrain,Valtteri  Bottas  BOT,Mercedes,1:33.740,
,China,Daniel  Ricciardo  RIC,Red Bull Racing TAG Heuer,1:35.785,
,Azerbaijan,Valtteri  Bottas  BOT,Mercedes,1:45.149,
,Spain,Daniel  Ricciardo  RIC,Red Bull Racing TAG Heuer,1:18.441,
,Monaco,Max  Verstappen  VER,Red Bull Racing TAG Heuer,1:14.260,
,Canada,Max  Verstappen  VER,Red Bull Racing TAG Heuer,1:13.864,
,France,Valtteri  Bottas  BOT,Mercedes,1:34.225,
,Austria,Kimi  Räikkönen  RAI,Ferrari,1:06.957,
,Great Britain,Sebastian  Vettel  VET,Ferrari,1:30.696,
,Germany,Lewis  Hamilton  HAM,Mercedes,1:15.545,
,Hungary,Daniel  Ricciardo  RIC,Red Bull Racing TAG Heuer,1:20.012,
,Belgium,Valtteri  Bottas  BOT,Mercedes,1:46.286,
,Italy,Lewis  Hamilton  HAM,Mercedes,1:22.497,
,Singapore,Kevin  Magnussen  MAG,Haas Ferrari,1:41.905,
,Russia,Valtteri  Bottas  BOT,Mercedes,1:35.861,
,Japan,Sebastian  Vettel  VET,Ferrari,1:32.318,
,United States,Lewis  Hamilton  HAM,Mercedes,1:37.392,
,Mexico,Valtteri  Bottas  BOT,Mercedes,1:18.741,
,Brazil,Valtteri  Bottas  BOT,Mercedes,1:10.540,
,Abu Dhabi,Sebastian  Vettel  VET,Ferrari,1:40.867,
