Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Australia,Felipe  Massa  MAS,Ferrari,1:28.947,
,Malaysia,Mark  Webber  WEB,Red Bull Racing Renault,1:40.571,
,China,Mark  Webber  WEB,Red Bull Racing Renault,1:38.993,
,Turkey,Mark  Webber  WEB,Red Bull Racing Renault,1:29.703,
,Spain,Lewis  Hamilton  HAM,McLaren Mercedes,1:26.727,
,Monaco,Mark  Webber  WEB,Red Bull Racing Renault,1:16.234,
,Canada,Jenson  Button  BUT,McLaren Mercedes,1:16.956,
,Europe,Sebastian  Vettel  VET,Red Bull Racing Renault,1:41.852,
,Great Britain,Fernando  Alonso  ALO,Ferrari,1:34.908,
,Germany,Lewis  Hamilton  HAM,McLaren Mercedes,1:34.302,
,Hungary,Felipe  Massa  MAS,Ferrari,1:23.415,
,Belgium,Mark  Webber  WEB,Red Bull Racing Renault,1:49.883,
,Italy,Lewis  Hamilton  HAM,McLaren Mercedes,1:26.187,
,Singapore,Jenson  Button  BUT,McLaren Mercedes,1:48.454,
,Japan,Jenson  Button  BUT,McLaren Mercedes,1:36.568,
,South Korea,Sebastian  Vettel  VET,Red Bull Racing Renault,1:39.605,
,India,Sebastian  Vettel  VET,Red Bull Racing Renault,1:27.249,
,Abu Dhabi,Mark  Webber  WEB,Red Bull Racing Renault,1:42.612,
,Brazil,Mark  Webber  WEB,Red Bull Racing Renault,1:15.324,
